review,date,score,place_url,name,description,address,phone,web
Sitio tranquilo para una parada de descanso. El Spritz 5 euros tamaño grande y rico.,2 months ago,4,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
"Spritz Hugo....espectacular 4,50€ y cerveza 3€ la caña",2 years ago,5,https://www.google.com/maps/place/The+Irish+Pub+Venezia/data=!4m7!3m6!1s0x477eb1dcc684ba71:0x494377ec94f7cc46!8m2!3d45.4415418!4d12.334141!16s%2Fg%2F1tdyk196!19sChIJcbqExtyxfkcRRsz3lOx3Q0k?authuser=0&hl=en&rclk=1,The Irish Pub Venezia,"Snug Irish bar serving whiskey, Guinness & sandwiches, with live football on TV & outdoor tables.","Corte dei Pali, 3847, 30121 Venezia VE, Italy",+39 041 639 6692,http://www.theirishpubvenezia.com/
No Aperol Spritz (the drink of Venice) served after 21:00 . Disappointing.,2 years ago,1,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
"From my point of view, the Santa Lucia spritz is one of the best you can find.",a year ago,5,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
"You can sit there for a drink in the evening, but it's not that comfortable for anything more. But it is also less crowded and cheaper than the “hip” places. We went there quickly for a spritz because it's not too far from the train station.",3 years ago,3,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
Too bad they didn't give me an aperol after 9pm,a year ago,5,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
"Excelente atención, ambiente, y Spritz!!",7 months ago,5,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
"Good sandwiches and spritz! However, it wouldn't be bad to accompany the spritz with some chips or a few shots! However friendly staff",7 months ago,4,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
No spritz after 9pm which is odd and unheard of. Relatively pricey as is most bars around. Very little atmosphere or people about. Would not recommend.,a year ago,1,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
"Great bartenders! Shame no Aperol spirits after 9pm,but you can still order other liqueurs, beer and wines. Laid back tradition Irish pub vibe.  Would definatley go back if I ever come back to Venice.",a year ago,5,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
Pequeño pero acogedor. Perfecto para tomar una cerveza o spritz (antes de las 21:00) y ver fútbol internacional.,2 years ago,5,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
"The girl behind the counter is fantastic... Guys... Good company and an excellent Spritz!
PS.... You need good insurance for high water, :-)",3 years ago,5,https://www.google.com/maps/place/Irish+Pub+Santa+Lucia/data=!4m7!3m6!1s0x477eb1c1032e53ab:0x23e9b72e36a35242!8m2!3d45.4429302!4d12.3246407!16s%2Fg%2F11bxd7lxb5!19sChIJq1MuA8GxfkcRQlKjNi636SM?authuser=0&hl=en&rclk=1,Irish Pub Santa Lucia,"Compact hangout offering beer, sandwiches & snacks in a traditional, unpretentious atmosphere.","Rio Terà Lista di Spagna, Campo San Geremia, 282/b, 30121 Venezia VE, Italy",+39 041 524 2880,http://www.irishpubsantalucia.it/
Best Aperol Spritz ever 🤩,10 months ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
El mejor Aperol spritz y más barato!,a year ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
Todo muy bueno. Los aperol spritz muy buenos y a precio razonable. Los probamos todos. El Hugo diferente y muy bueno. Tienen sachetti típicos y más para comer. Íbamos casi todos los días. Volveremos.,a year ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
Very tasty Aperol Spritz that you can enjoy at small tables inside and outside or on the steps of the bridge. Casual atmosphere - a perfect place to end the day.,a year ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
"Excellent experience! Very good and particular cicchetti, of excellent quality. Aperol Spritz really good. Advised!",a year ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
"Very nice price, and nice staff! Good aperol spritz!",3 months ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
The Aperol Spritz is great and the espresso is very tasty. The prices are fair and the man behind the counter is very friendly. Recommended.,2 years ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
"Paramos a tomar algo. El limoncelo muy rico y el aperol spritz perfecto 💯 (los precios también).
Buen ambiente, buen servicio y buena música.
Gran descubrimiento. …",3 months ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
Aperol spritz for 3 euros!! And excellent,10 months ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
Great aperol spritz and snack bite 🙌🏻 …,2 years ago,3,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
"Fantastic place for aperol spritz and cichetti - great value, lovely food, friendly staff and great location. What more could you ask for?",a year ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
"Great and cheap spritz! Aperol was the best, but Hugo and Select also good! Chicceti very tasty!",2 years ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
"This is a great  bar, good cheap food and lovely drinks. Away from the crazy busy main touristy bit, it is worth a visit. We had a variety of cichetti and they were great. Can’t beat aperol spritz for €3.",2 months ago,4,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
"Amazing aperol spritz at 3 Euros each, served by a friendly bartender - seats are free for all with some in the inside of the pub.

Definitely a thirst quencher for those looking to have a pit stop from traversing in the busy street of Venice 🍻",a year ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
Great location with very fair prices! Delicious Aperol Spritz!,2 years ago,5,https://www.google.com/maps/place/Corner+Pub/data=!4m7!3m6!1s0x477eb1d22fab85d9:0x9145af1037806dcf!8m2!3d45.4304293!4d12.3307388!16s%2Fg%2F11cmsvyflb!19sChIJ2YWrL9KxfkcRz22ANxCvRZE?authuser=0&hl=en&rclk=1,Corner Pub,"Chill, lively nook with canal views offering panini & sharing plates along with coffee, wine & beer.","Calle de la Chiesa, 684, 30123 Venezia VE, Italy",+39 349 457 6739,https://cornerpubvenezia.it/
Good spritzes,a year ago,4,https://www.google.com/maps/place/Bar+9/data=!4m7!3m6!1s0x477eafb1c3ceb1ad:0x1eba4f06a1c88086!8m2!3d45.4157447!4d12.3701418!16s%2Fg%2F11dfk_wf05!19sChIJrbHOw7GvfkcRhoDIoQZPuh4?authuser=0&hl=en&rclk=1,Bar 9,,"Via Lepanto, 9, 30126 Lido VE, Italy",+39 347 344 0712,
"Very good atmosphere
Very good spritz",2 years ago,5,https://www.google.com/maps/place/Bar+9/data=!4m7!3m6!1s0x477eafb1c3ceb1ad:0x1eba4f06a1c88086!8m2!3d45.4157447!4d12.3701418!16s%2Fg%2F11dfk_wf05!19sChIJrbHOw7GvfkcRhoDIoQZPuh4?authuser=0&hl=en&rclk=1,Bar 9,,"Via Lepanto, 9, 30126 Lido VE, Italy",+39 347 344 0712,
Spritz and company,2 years ago,3,https://www.google.com/maps/place/Bar+9/data=!4m7!3m6!1s0x477eafb1c3ceb1ad:0x1eba4f06a1c88086!8m2!3d45.4157447!4d12.3701418!16s%2Fg%2F11dfk_wf05!19sChIJrbHOw7GvfkcRhoDIoQZPuh4?authuser=0&hl=en&rclk=1,Bar 9,,"Via Lepanto, 9, 30126 Lido VE, Italy",+39 347 344 0712,
"Very nice bar who conjured up a delicious aperitif from my confused order of 'Aperol Select' - great team at the counter!
By the way, it tasted delicious! :D",2 years ago,5,https://www.google.com/maps/place/Bar+9/data=!4m7!3m6!1s0x477eafb1c3ceb1ad:0x1eba4f06a1c88086!8m2!3d45.4157447!4d12.3701418!16s%2Fg%2F11dfk_wf05!19sChIJrbHOw7GvfkcRhoDIoQZPuh4?authuser=0&hl=en&rclk=1,Bar 9,,"Via Lepanto, 9, 30126 Lido VE, Italy",+39 347 344 0712,
"My wife wanted an aperol spritz.  They have a specialty aperol spritz for €6.  2 beers on tap, dark or lager.  Be prepared with cash as their credit card machine wasn’t working.  ATM machine is 3 meters away.  There are a lot of locals at this bar.",2 years ago,4,https://www.google.com/maps/place/Blackjack+Bar/data=!4m7!3m6!1s0x477eb1da72c6b403:0xadb3168b4099829f!8m2!3d45.4356779!4d12.3350471!16s%2Fg%2F11b7gmtds_!19sChIJA7TGctqxfkcRn4KZQIsWs60?authuser=0&hl=en&rclk=1,Blackjack Bar,"Warm circular bar offering local tapas plates alongside cocktails, spritzes & wines by the glass.","calle 30124, Calle Minelli, 1267B, 30124 Venezia VE, Italy",,https://www.facebook.com/pages/Black-Jack/157946901449707
"Expensive place that doesn't do Aperol spritz. They brought us two glasses of wine that didn't even reach 10 cl and a small bowl of salted bread crumbs from a few days ago, which looked like pigeon food. Rejected!",a year ago,1,https://www.google.com/maps/place/Blackjack+Bar/data=!4m7!3m6!1s0x477eb1da72c6b403:0xadb3168b4099829f!8m2!3d45.4356779!4d12.3350471!16s%2Fg%2F11b7gmtds_!19sChIJA7TGctqxfkcRn4KZQIsWs60?authuser=0&hl=en&rclk=1,Blackjack Bar,"Warm circular bar offering local tapas plates alongside cocktails, spritzes & wines by the glass.","calle 30124, Calle Minelli, 1267B, 30124 Venezia VE, Italy",,https://www.facebook.com/pages/Black-Jack/157946901449707
"Two perfectly mixed Aperol Spritz and a bottle of water - €33, but there were very good olives and a very good baguette with olive oil.",3 years ago,5,https://www.google.com/maps/place/Blackjack+Bar/data=!4m7!3m6!1s0x477eb1da72c6b403:0xadb3168b4099829f!8m2!3d45.4356779!4d12.3350471!16s%2Fg%2F11b7gmtds_!19sChIJA7TGctqxfkcRn4KZQIsWs60?authuser=0&hl=en&rclk=1,Blackjack Bar,"Warm circular bar offering local tapas plates alongside cocktails, spritzes & wines by the glass.","calle 30124, Calle Minelli, 1267B, 30124 Venezia VE, Italy",,https://www.facebook.com/pages/Black-Jack/157946901449707
"Beautiful place, unfortunately they don't do spritz. What a pity",2 years ago,3,https://www.google.com/maps/place/Blackjack+Bar/data=!4m7!3m6!1s0x477eb1da72c6b403:0xadb3168b4099829f!8m2!3d45.4356779!4d12.3350471!16s%2Fg%2F11b7gmtds_!19sChIJA7TGctqxfkcRn4KZQIsWs60?authuser=0&hl=en&rclk=1,Blackjack Bar,"Warm circular bar offering local tapas plates alongside cocktails, spritzes & wines by the glass.","calle 30124, Calle Minelli, 1267B, 30124 Venezia VE, Italy",,https://www.facebook.com/pages/Black-Jack/157946901449707
